COMPANY_NAME,TYPE,SUB TYPE,NAME,HEIGHT,WIDTH,LENGTH,WEIGHT,WHEELBASE,ENGLINE,DISPLACEMENT,GROUND_CLEARANCE,BOOT_SPACE
maruti suzuki,subcompact car,,Swift (AOL - 4th Gen),150,174,386,949,245,1.2,1197,16.3,265
maruti suzuki,hatchback car,,Wagon R,167.5,162,365.5,845,243.5,1.2,1197,17,341
maruti suzuki,SUV,,Brezza,168.5,179,399.5,1210,250,1.5,1462,19.8,328
maruti suzuki,hatchback car,,Ignis,159.5,169,370,850,243.5,1.2,1197,18,260
maruti suzuki,hatchback car,,Alto K10,152,149,353,765,238,1,998,16.7,214
maruti suzuki,hatchback car,,S-Presso,155.3,152,356.5,750,238,1,998,18,250
maruti suzuki,SUV,compact,Fronx,155,176.5,399.5,940,252,1.2,1197,19,308
maruti suzuki,SUV,off road,Jimny,172,164.4,389.5,1150,259,1.5,1462,21,208
hyundai,SUV,,Venue,166.5,177,399.6,1200,258,1.2,1197,18,375
hyundai,SUV,,Creta,163.5,179,433,1265,261,1.5,1493,19,433
hyundai,hatchback car,,i20,150.5,177.5,399.5,1066,258,1.2,1197,17,311
hyundai,SUV,,Alcazar,171,180,456,1485,276,1.5,1493,20,180
tata motors,SUV,,Nexon,162,180.4,399.5,1346,249.8,1.5,1497,20.8,382
tata motors,SUV,compact,Punch,161.5,174.2,382.7,1020,244.5,1.2,1199,18.7,366
tata motors,SUV,,Harrier,171.8,192.2,460.5,1710,274.1,2,1956,20.5,445
tata motors,SUV,large,Safari,179.5,189.4,466.8,1825,274.1,2,1956,21,420
tata motors,hatchback car,,Altroz,152.3,175.5,399,1055,250.1,1.2,1199,16.5,345
kia motors,SUV,,Seltos,164.5,180,436.5,1300,261,1.5,1493,20,435
kia motors,SUV,,Sonet,164.2,179,399.5,1287,250,1.2,1197,19,385
toyota,hatchback car,,Glanza,170,169.5,399.5,985,252,1.2,1197,17,318
toyota,SUV,subcompact,Urban Cruiser Taisor,155,176.5,399.5,1060,252,1.2,1197,19,308
toyota,SUV,,Ubran Cruiser Hyryder,170,179,399.5,1450,252,1.5,1490,19,373
toyota,MPV,,Innova Hycross,179.5,185,475.5,1730,285,2,1987,18.5,300
toyota,MPV,,Rumion,169,173.5,442,1200,274,1.5,1462,18.5,209
toyota,MPV,,Innova Crysta,179.5,183,473.5,1730,275,2.4,2393,17.8,300
toyota,SUV,pickup,Hilux,181.5,185.5,532.5,2100,308.5,2.8,2755,21.6,
toyota,MPV,luxury,Vellfire,193.5,185,493.5,2100,300,2.5,2487,17.5,550
honda,Sedan,,City,149.1,174,454.3,1150,260,1.5,1498,16.5,506
honda,Sedan,,Amaze,155,169.3,399.5,1040,247,1.2,1199,14.8,420
honda,SUV,compact,Elevate,163.5,177,429.5,1170,260.5,1.5,1498,18,458
honda,SUV,compact,WR-V,160.5,177.4,399.6,1100,253,1.2,1199,17.5,363
